20,皮の帽子,5,0,2,0,0,0,0,0,0,100,50,helm01,動物の皮を加工して\n作られた帽子\n防御力+2
21,鉄兜,5,0,5,0,0,0,0,0,0,400,200,helm02,鉄製の兜\n防御力+5
22,鋼の兜,5,0,10,0,0,0,0,0,0,1000,500,helm03,鋼鉄製の兜\n防御力+10
23,ミストリルの兜,5,0,15,0,0,0,0,0,0,2500,1250,helm04,魔力を帯びた金属\nミストリルで\n作られた兜\n防御力+15
24,勇者の兜,5,0,20,0,0,0,0,0,1,0,0,helm05,伝説の勇者が使用したと\n言われる兜\n神聖な力を持つ\n防御力+20
25,薬草,7,0,0,35,0,0,0,0,0,10,5,item01,傷をいやす効果のある\n薬用の野草\nHPを回復する\n1回使用するとなくなる
26,毒消し草,7,0,0,0,0,0,0,3,0,8,4,item02,解毒作用のある\n薬用の野草\n毒を消すことができる\n1回使用するとなくなる
27,聖水,7,0,0,0,0,0,0,2,0,20,10,item03,聖者の祝福を受けた\n聖なる水\n敵にかけられた\n封印の魔法を解く\n1回使用するとなくなる
28,聖なる薬草,7,0,0,100,0,0,0,0,0,100,50,item04,聖者の祝福を\n受けた薬草\n薬草より多くの\nHPを回復する\n1回使用するとなくなる
29,銀のカギ,9,0,0,0,0,0,0,0,0,50,25,item05,銀製のカギ\n対応した\n鍵のかかった扉を開ける\n1回使用するとなくなる
30,眠りの鈴,8,0,0,0,0,1,3,0,0,500,250,item06,使用すると敵を眠らせる\nことのできる\n魔法の鈴\n使用の際の消費HP3
31,魔法の杖,8,0,0,0,20,0,4,0,0,250,125,item07,使用すると火の玉を放ち\n敵にダメージを与える\n魔力を帯びた杖\n使用の際の消費HP4
32,魔封じの護符,8,0,0,0,0,2,3,0,0,300,150,item08,使用すると敵の魔法を\n封じることのできる\n魔法の護符\n使用の際の消費HP3
33,毒蛇の香,8,0,0,0,0,3,3,0,0,400,200,item09,使用すると\n敵を毒状態にできる\n魔法の香\n使用の際の消費HP3
34,雷の杖,8,0,0,0,60,0,8,0,0,0,2000,item10,使用すると雷を放ち\n敵に大ダメージを与える\n魔力を帯びた杖\n使用の際の消費HP8
35,死の首飾り,8,0,0,0,0,4,12,0,0,0,5000,item11,使用すると敵の息の根を\n止めることのできる\n呪いを帯びた首飾り\n使用の際の消費HP12
36,扉の絵,10,0,0,0,0,0,6,0,1,0,0,item12,使用すると一瞬で\n迷宮の外へ戻ることの\nできる魔法の絵画\n使用の際の消費HP6
37,姫の指輪,8,0,0,0,0,5,0,0,1,0,0,item13,姫の持っていた指輪\n邪悪な魔力に\n対抗できると言われる
38,水晶玉,12,0,0,0,0,0,0,0,1,0,0,item14,自分の周囲の状況を\n知ることができる水晶玉\n使用すると自分の\n現在位置が分かる
39,魔法の地図,11,0,0,0,0,0,0,0,1,0,0,item15,迷宮の地図\n迷宮の構造が\nわかるだけではなく\n自分の位置も\n知ることができる
40,金のカギ,10,0,0,0,0,0,0,0,1,0,0,item16,金製のカギ\n対応した\n鍵のかかった扉を開ける\n何度でも使用できる
41,ミストリル鉱石,13,0,0,0,0,0,0,0,1,0,0,item17,魔力を帯びた金属\nミストリルの鉱石\n武器屋に持っていくと\nミストリル製の\n装備を作ってもらえる
42,魔法のランタン,14,0,0,0,0,0,0,0,1,0,0,item18,邪悪な魔力で作られた\n闇を祓うことのできる\nランタン\n持っているだけで\n効果がある
43,解呪の手鏡,10,0,0,0,0,0,0,0,1,0,0,item19,石化の呪いで\n石にされた者を\n元に戻すことの\nできる手鏡
44,真実の腕輪,15,0,0,0,0,0,0,0,1,0,0,item20,人に化けた魔物を\n消し去ることのできる\n魔力を持った腕輪\n持っているだけで\n効果がある
45,悪魔の像,10,0,0,0,0,0,0,0,1,0,0,item21,悪魔を模った\n禍々しい像\n持つものを魔王の\n元へ導くと言われる
46,勇者の紋章,10,0,0,0,0,0,0,0,1,0,0,item22,勇者の証を示す紋章\n持つものは勇者として\n認められるであろう
47,女神の祝福,7,0,0,999,0,0,0,0,0,0,3000,item23,女神の祝福を受けた\n魔法の薬\nHPを完全に\n回復したうえに\n状態を祝福にする
48,命の花,10,0,0,0,0,0,0,0,0,0,10000,item24,女神の涙から\n生まれたと言われる\n伝説の花\n死者を蘇らせる\n力を持つと言われる
